key,value,description
System.UseRandomNames,TRUE,汎用武将名のランダム生成。TRUE: 外部ファイルからランダム命名、FALSE: 武将Aなど記号的命名
System.HermitAmbitionLimit,30,性格判定：隠遁者になる野心の上限値。これ未満だと隠遁者
System.PersonalityStatDiff,20,性格判定：猛将/知将になるための能力差。武力が知略よりこの値以上高いと猛将
System.FactionInnovationHigh,70,派閥判定：革新派になる革新性下限値
System.FactionInnovationLow,30,派閥判定：保守派になる革新性上限値
Economy.IncomeGoldRate,0.5,商業に対する金銭収入率。上げると金銭収入増『インフレ化』、下げると金欠になり難易度上昇
Economy.IncomeRiceRate,10,石高に対する兵糧収入率。上げると9月の兵糧収入増、下げると兵糧不足で戦争継続が困難に
Economy.IncomeFluctuation,0.15,収入のランダム変動幅。上げると収入が不安定になり運要素が増す、下げると計算通りの収入になる
Economy.ConsumeRicePerSoldier,0.05,兵士一人あたりの兵糧消費。上げると大軍の維持が困難になる、下げると兵糧を気にせず兵を抱えられる
Economy.ConsumeGoldPerBusho,50,武将一人あたりの金銭消費。上げると武将を多く抱えるコスト増、下げると人員維持が楽になる
Economy.BaseDevelopment,10,開発の基礎値。上げると能力の低い武将でも開発が進みやすくなる、下げると政治力が低いと開発が進まない
Economy.PoliticsEffect,0.6,開発時の政治力の影響係数。上げると武将の「政治」能力の重要性が増す、下げると能力差による効率差が縮まる
Economy.DevelopFluctuation,0.15,開発効果の変動幅。上げると開発成果にムラが出る、下げると毎回安定した数値が出る
Economy.BaseRepair,20,修復の基礎値。上げると城壁修復が早くなる、下げると修復に時間がかかり防御回復が遅れる
Economy.RepairEffect,0.6,修復時の政治力の影響係数。上げると修復における「政治」能力の依存度が高まる
Economy.RepairFluctuation,0.15,修復効果の変動幅。上げると修復値がバラつく、下げると安定する
Economy.BaseCharity,10,施しの基礎値。上げると民忠誠を上げやすくなる、下げると一揆対策等のコストが嵩む
Economy.CharmEffect,0.4,施し時の魅力の影響係数。上げると「魅力」が高い武将の施し効果が激増する
