key,value,description
System.UseRandomNames,TRUE,汎用武将名のランダム生成
Economy.IncomeGoldRate,0.5,商業に対する金銭収入率
Economy.IncomeRiceRate,10,石高に対する兵糧収入率
Economy.IncomeFluctuation,0.15,収入のランダム変動幅
Economy.ConsumeRicePerSoldier,0.05,兵士一人あたりの兵糧消費
Economy.ConsumeGoldPerBusho,50,武将一人あたりの金銭消費
Economy.BaseDevelopment,10,開発の基礎値
Economy.PoliticsEffect,0.6,開発時の政治力の影響係数
Economy.DevelopFluctuation,0.15,開発効果の変動幅
Economy.BaseRepair,20,修復の基礎値
Economy.RepairEffect,0.6,修復時の政治力の影響係数
Economy.RepairFluctuation,0.15,修復効果の変動幅
Economy.BaseCharity,10,施しの基礎値
Economy.CharmEffect,0.4,施し時の魅力の影響係数
Economy.CharityFluctuation,0.15,施し効果の変動幅
Economy.TradeRateMin,0.5,相場の最小値
Economy.TradeRateMax,3,相場の最大値
Economy.TradeFluctuation,0.15,相場の変動幅
Military.DraftBase,50,徴兵の基礎値
Military.DraftStatBonus,1.5,徴兵時の能力補正最大倍率
Military.DraftPopBonusFactor,0.00005,徴兵時の人口ボーナス係数
Military.DraftFluctuation,0.15,徴兵数の変動幅
Military.BaseTraining,0,訓練の基礎値
Military.TrainingLdrEffect,0.3,訓練時の統率影響
Military.TrainingStrEffect,0.2,訓練時の武力影響
Military.TrainingFluctuation,0.15,訓練効果の変動幅
Military.BaseMorale,0,士気上げ基礎値
Military.MoraleLdrEffect,0.2,士気上げ時の統率影響
Military.MoraleCharmEffect,0.2,士気上げ時の魅力影響
Military.MoraleFluctuation,0.2,士気上げ変動幅
Military.WarMaxRounds,10,合戦の最大ラウンド数
Military.DamageSoldierPower,0.05,ダメージ計算時の兵数影響
Military.WallDefenseEffect,0.5,ダメージ計算時の城壁防御効果
Military.DamageFluctuation,0.2,ダメージ乱数幅
Military.FactionBonus,1.1,相性一致時の部隊能力ボーナス
Military.FactionPenalty,0.8,相性不一致時の部隊能力ペナルティ
Strategy.InvestigateDifficulty,50,調査の基本難易度
Strategy.InciteFactor,150,扇動の難易度係数
Strategy.RumorFactor,50,流言の難易度係数
Strategy.SchemeSuccessRate,0.6,合戦中の計略成功率基準
Strategy.EmploymentDiff,1.5,登用難易度係数
Strategy.HeadhuntBaseDiff,50,引抜の基本難易度
Strategy.HeadhuntGoldEffect,0.01,引抜時の金銭効果係数
Strategy.HeadhuntGoldMaxEffect,15,引抜時の金銭効果最大値
Strategy.HeadhuntIntWeight,0.8,引抜時の知略重み
Strategy.HeadhuntLoyaltyWeight,1,引抜時の忠誠重み
Strategy.HeadhuntDutyWeight,0.8,引抜時の義理重み
Strategy.RewardBaseEffect,10,褒美の基本効果
Strategy.RewardGoldFactor,0.1,褒美の金銭係数
Strategy.RewardDistancePenalty,0.2,褒美時の相性距離ペナルティ
Strategy.AffinityLordWeight,0.5,引抜計算(旧主相性)
Strategy.AffinityNewLordWeight,0.6,引抜計算(新主相性)
Strategy.AffinityDoerWeight,0.4,引抜計算(実行者相性)
AI.Aggressiveness,1.5,AIの攻撃性閾値
AI.SoliderSendRate,0.8,AIの出兵率
AI.AbilityBase,50,AI能力判定の基準値
AI.AbilitySensitivity,2,AIの能力評価感度
AI.GunshiBiasFactor,0.5,軍師情報のバイアス係数
AI.GunshiFairnessFactor,0.01,軍師の誠実さ係数
AI.WarHighIntThreshold,80,合戦AIの高知能判定ライン
AI.DiplomacyChance,0.3,AI外交発生率
AI.GoodwillThreshold,40,AI親善閾値
AI.AllianceThreshold,70,AI同盟閾値
AI.BreakAllianceDutyFactor,0.5,AI同盟破棄の義理影響
